state,district,year_month,age_0_5,age_5_17,age_18_greater,total_enrolment
Gujarat,Morbi,2025-04,818,178,175,1171
Gujarat,Morbi,2025-05,389,88,46,523
Gujarat,Morbi,2025-06,777,366,26,1169
Gujarat,Morbi,2025-07,1789,825,215,2829
Gujarat,Morbi,2025-09,638,141,49,828
Gujarat,Morbi,2025-10,276,46,63,385
Gujarat,Morbi,2025-11,499,88,37,624
Gujarat,Morbi,2025-12,326,59,19,404
Gujarat,Narmada,2025-09,470,35,1,506
Gujarat,Narmada,2025-10,135,23,9,167
Gujarat,Narmada,2025-11,296,23,14,333
Gujarat,Narmada,2025-12,254,15,5,274
Gujarat,Navsari,2025-04,133,10,33,176
Gujarat,Navsari,2025-05,122,21,15,158
Gujarat,Navsari,2025-07,191,47,19,257
Gujarat,Navsari,2025-09,736,59,6,801
Gujarat,Navsari,2025-10,228,12,20,260
Gujarat,Navsari,2025-11,733,33,8,774
Gujarat,Navsari,2025-12,310,19,2,331
Gujarat,Panch Mahals,2025-07,789,434,100,1323
Gujarat,Panch Mahals,2025-09,28,4,0,32
Gujarat,Panch Mahals,2025-10,6,0,0,6
Gujarat,Panch Mahals,2025-11,21,4,0,25
Gujarat,Panch Mahals,2025-12,14,2,0,16
Gujarat,Panchmahals,2025-04,574,145,183,902
Gujarat,Panchmahals,2025-05,311,83,61,455
Gujarat,Panchmahals,2025-09,1431,388,47,1866
Gujarat,Panchmahals,2025-10,629,125,9,763
Gujarat,Panchmahals,2025-11,1152,263,18,1433
Gujarat,Panchmahals,2025-12,731,118,11,860
Gujarat,Patan,2025-03,141,26,23,190
Gujarat,Patan,2025-04,800,173,225,1198
Gujarat,Patan,2025-05,225,53,25,303
Gujarat,Patan,2025-06,207,80,11,298
Gujarat,Patan,2025-07,1741,1178,232,3151
Gujarat,Patan,2025-09,1184,396,71,1651
Gujarat,Patan,2025-10,317,77,39,433
Gujarat,Patan,2025-11,911,170,65,1146
Gujarat,Patan,2025-12,497,75,25,597
Gujarat,Porbandar,2025-04,267,38,44,349
Gujarat,Porbandar,2025-06,209,57,11,277
Gujarat,Porbandar,2025-07,450,89,56,595
Gujarat,Porbandar,2025-09,404,73,20,497
Gujarat,Porbandar,2025-10,149,22,21,192
Gujarat,Porbandar,2025-11,290,41,20,351
Gujarat,Porbandar,2025-12,237,12,9,258
Gujarat,Rajkot,2025-04,1398,338,231,1967
Gujarat,Rajkot,2025-05,1375,312,221,1908
Gujarat,Rajkot,2025-06,114,194,16,324
Gujarat,Rajkot,2025-07,2567,1437,200,4204
Gujarat,Rajkot,2025-09,2225,651,50,2926
Gujarat,Rajkot,2025-10,979,231,82,1292
Gujarat,Rajkot,2025-11,2363,385,93,2841
Gujarat,Rajkot,2025-12,1398,184,26,1608
Gujarat,Sabar Kantha,2025-07,951,1169,157,2277
Gujarat,Sabar Kantha,2025-09,45,14,0,59
Gujarat,Sabar Kantha,2025-10,16,4,0,20
Gujarat,Sabar Kantha,2025-11,43,6,0,49
Gujarat,Sabar Kantha,2025-12,28,4,0,32
Gujarat,Sabarkantha,2025-04,389,197,110,696
Gujarat,Sabarkantha,2025-05,90,41,11,142
Gujarat,Sabarkantha,2025-09,1205,560,82,1847
Gujarat,Sabarkantha,2025-10,400,102,36,538
Gujarat,Sabarkantha,2025-11,793,159,60,1012
Gujarat,Sabarkantha,2025-12,726,114,40,880
Gujarat,Surat,2025-04,2932,976,280,4188
Gujarat,Surat,2025-05,1396,542,48,1986
Gujarat,Surat,2025-07,2694,1581,81,4356
Gujarat,Surat,2025-09,3848,1392,39,5279
Gujarat,Surat,2025-10,1371,441,68,1880
Gujarat,Surat,2025-11,4025,1000,80,5105
Gujarat,Surat,2025-12,2146,467,62,2675
Gujarat,Surendra Nagar,2025-04,436,159,91,686
Gujarat,Surendra Nagar,2025-07,250,172,21,443
Gujarat,Surendra Nagar,2025-09,1681,725,55,2461
Gujarat,Surendra Nagar,2025-10,564,172,63,799
Gujarat,Surendra Nagar,2025-11,1079,289,62,1430
Gujarat,Surendra Nagar,2025-12,843,148,45,1036
Gujarat,Surendranagar,2025-07,658,574,78,1310
Gujarat,Surendranagar,2025-09,42,6,0,48
Gujarat,Surendranagar,2025-10,14,2,0,16
Gujarat,Surendranagar,2025-11,31,8,0,39
Gujarat,Surendranagar,2025-12,26,3,0,29
Gujarat,Tapi,2025-04,68,12,13,93
Gujarat,Tapi,2025-09,918,116,7,1041
Gujarat,Tapi,2025-10,217,24,8,249
Gujarat,Tapi,2025-11,421,38,97,556
Gujarat,Tapi,2025-12,232,15,26,273
Gujarat,The Dangs,2025-04,85,13,22,120
Gujarat,The Dangs,2025-05,174,49,38,261
Gujarat,The Dangs,2025-09,361,73,3,437
Gujarat,The Dangs,2025-10,135,21,10,166
Gujarat,The Dangs,2025-11,207,21,0,228
Gujarat,The Dangs,2025-12,106,9,1,116
Gujarat,Vadodara,2025-03,36,43,10,89
Gujarat,Vadodara,2025-04,788,216,180,1184
Gujarat,Vadodara,2025-05,158,78,10,246
Gujarat,Vadodara,2025-06,334,139,37,510
Gujarat,Vadodara,2025-07,507,217,60,784
Gujarat,Vadodara,2025-09,2210,744,82,3036
Gujarat,Vadodara,2025-10,1159,241,19,1419
Gujarat,Vadodara,2025-11,2560,512,111,3183
Gujarat,Vadodara,2025-12,1554,243,36,1833
Gujarat,Valsad,2025-04,618,186,100,904
Gujarat,Valsad,2025-05,277,101,20,398
Gujarat,Valsad,2025-07,581,261,30,872
Gujarat,Valsad,2025-09,1455,373,13,1841
Gujarat,Valsad,2025-10,499,100,14,613
Gujarat,Valsad,2025-11,1324,279,34,1637
Gujarat,Valsad,2025-12,1064,106,13,1183
Haryana,Ambala,2025-06,245,23,13,281
Haryana,Ambala,2025-09,699,40,1,740
Haryana,Ambala,2025-10,614,22,8,644
Haryana,Ambala,2025-11,974,30,7,1011
Haryana,Ambala,2025-12,531,7,4,542
Haryana,Bhiwani,2025-09,937,55,2,994
Haryana,Bhiwani,2025-10,715,34,7,756
Haryana,Bhiwani,2025-11,963,34,7,1004
Haryana,Bhiwani,2025-12,706,29,0,735
Haryana,Charkhi Dadri,2025-09,253,2,0,255
Haryana,Charkhi Dadri,2025-10,146,6,0,152
Haryana,Charkhi Dadri,2025-11,300,6,0,306
Haryana,Charkhi Dadri,2025-12,140,5,0,145
Haryana,Faridabad,2025-03,80,60,10,150
Haryana,Faridabad,2025-04,1291,290,25,1606
Haryana,Faridabad,2025-05,1358,311,32,1701
Haryana,Faridabad,2025-06,1698,483,83,2264
Haryana,Faridabad,2025-07,2678,733,54,3465
Haryana,Faridabad,2025-09,1712,486,34,2232
Haryana,Faridabad,2025-10,1018,216,7,1241
Haryana,Faridabad,2025-11,1839,471,70,2380
Haryana,Faridabad,2025-12,933,175,8,1116
Haryana,Fatehabad,2025-09,572,35,5,612
Haryana,Fatehabad,2025-10,648,20,2,670
Haryana,Fatehabad,2025-11,768,24,2,794
Haryana,Fatehabad,2025-12,522,13,1,536
Haryana,Gurgaon,2025-04,494,192,36,722
Haryana,Gurgaon,2025-05,512,143,13,668
Haryana,Gurgaon,2025-09,1395,311,53,1759
Haryana,Gurgaon,2025-10,866,169,8,1043
Haryana,Gurgaon,2025-11,1387,297,43,1727
Haryana,Gurgaon,2025-12,763,135,44,942
Haryana,Gurugram,2025-03,18,19,13,50
Haryana,Gurugram,2025-06,534,207,81,822
Haryana,Gurugram,2025-07,1252,399,113,1764
Haryana,Hisar,2025-06,350,46,10,406
Haryana,Hisar,2025-09,1327,84,2,1413
Haryana,Hisar,2025-10,1096,56,1,1153
Haryana,Hisar,2025-11,1324,88,5,1417
Haryana,Hisar,2025-12,830,15,0,845
Haryana,Jhajjar,2025-09,804,36,2,842
Haryana,Jhajjar,2025-10,587,21,0,608
Haryana,Jhajjar,2025-11,665,27,5,697
Haryana,Jhajjar,2025-12,459,15,3,477
Haryana,Jhajjar *,2025-09,0,1,0,1
Haryana,Jind,2025-09,1245,29,0,1274
Haryana,Jind,2025-10,847,21,0,868
Haryana,Jind,2025-11,978,32,0,1010
Haryana,Jind,2025-12,659,10,0,669
Haryana,Kaithal,2025-06,406,19,10,435
Haryana,Kaithal,2025-09,790,20,0,810
Haryana,Kaithal,2025-10,441,19,1,461
Haryana,Kaithal,2025-11,760,17,1,778
Haryana,Kaithal,2025-12,497,10,0,507
Haryana,Karnal,2025-09,1285,66,1,1352
Haryana,Karnal,2025-10,781,35,0,816
Haryana,Karnal,2025-11,943,45,4,992
Haryana,Karnal,2025-12,852,33,3,888
Haryana,Kurukshetra,2025-06,72,10,11,93
Haryana,Kurukshetra,2025-09,639,23,0,662
Haryana,Kurukshetra,2025-10,499,15,0,514
Haryana,Kurukshetra,2025-11,704,22,0,726
Haryana,Kurukshetra,2025-12,401,8,0,409
Haryana,Mahendragarh,2025-09,783,56,1,840
Haryana,Mahendragarh,2025-10,517,30,0,547
Haryana,Mahendragarh,2025-11,710,38,22,770
Haryana,Mahendragarh,2025-12,565,31,1,597
Haryana,Mewat,2025-05,1169,147,11,1327
Haryana,Mewat,2025-09,1281,117,3,1401
Haryana,Mewat,2025-10,1347,90,0,1437
Haryana,Mewat,2025-11,1739,116,3,1858
Haryana,Mewat,2025-12,1453,80,2,1535
Haryana,Nuh,2025-06,1251,213,42,1506
Haryana,Palwal,2025-09,1117,125,2,1244
Haryana,Palwal,2025-10,864,61,1,926
Haryana,Palwal,2025-11,1490,86,1,1577
Haryana,Palwal,2025-12,896,60,0,956
Haryana,Panchkula,2025-09,308,31,0,339
Haryana,Panchkula,2025-10,269,17,2,288
Haryana,Panchkula,2025-11,434,31,2,467
Haryana,Panchkula,2025-12,276,13,1,290
Haryana,Panipat,2025-06,776,87,14,877
Haryana,Panipat,2025-07,1344,169,10,1523
Haryana,Panipat,2025-09,1076,108,6,1190
Haryana,Panipat,2025-10,677,44,6,727
Haryana,Panipat,2025-11,990,98,10,1098
Haryana,Panipat,2025-12,635,37,1,673
Haryana,Rewari,2025-09,630,62,2,694
Haryana,Rewari,2025-10,501,28,2,531
Haryana,Rewari,2025-11,753,45,2,800
Haryana,Rewari,2025-12,445,15,0,460
Haryana,Rohtak,2025-06,420,56,52,528
Haryana,Rohtak,2025-09,829,47,1,877
Haryana,Rohtak,2025-10,580,28,1,609
Haryana,Rohtak,2025-11,810,39,7,856
Haryana,Rohtak,2025-12,522,21,0,543
Haryana,Sirsa,2025-09,811,66,0,877
Haryana,Sirsa,2025-10,684,45,0,729
Haryana,Sirsa,2025-11,974,53,2,1029
Haryana,Sirsa,2025-12,666,34,0,700
Haryana,Sonipat,2025-06,360,46,23,429
Haryana,Sonipat,2025-09,1190,74,6,1270
Haryana,Sonipat,2025-10,795,43,4,842
Haryana,Sonipat,2025-11,1241,74,3,1318
Haryana,Sonipat,2025-12,728,31,1,760
Haryana,Yamuna Nagar,2025-09,959,46,2,1007
Haryana,Yamuna Nagar,2025-10,613,15,1,629
Haryana,Yamuna Nagar,2025-11,1032,34,5,1071
Haryana,Yamuna Nagar,2025-12,674,15,0,689
Haryana,Yamunanagar,2025-09,16,0,0,16
Haryana,Yamunanagar,2025-10,14,2,0,16
Haryana,Yamunanagar,2025-11,16,0,0,16
Haryana,Yamunanagar,2025-12,10,1,0,11
Himachal Pradesh,Bilaspur,2025-09,254,3,0,257
Himachal Pradesh,Bilaspur,2025-10,222,5,0,227
Himachal Pradesh,Bilaspur,2025-11,305,4,0,309
Himachal Pradesh,Bilaspur,2025-12,204,2,0,206
Himachal Pradesh,Chamba,2025-09,360,23,1,384
Himachal Pradesh,Chamba,2025-10,355,13,2,370
Himachal Pradesh,Chamba,2025-11,579,18,3,600
Himachal Pradesh,Chamba,2025-12,292,10,1,303
Himachal Pradesh,Hamirpur,2025-09,271,4,0,275
Himachal Pradesh,Hamirpur,2025-10,292,5,0,297
Himachal Pradesh,Hamirpur,2025-11,389,5,0,394
Himachal Pradesh,Hamirpur,2025-12,229,2,1,232
Himachal Pradesh,Kangra,2025-09,1190,35,6,1231
Himachal Pradesh,Kangra,2025-10,901,15,4,920
Himachal Pradesh,Kangra,2025-11,1165,20,8,1193
Himachal Pradesh,Kangra,2025-12,613,5,4,622
Himachal Pradesh,Kinnaur,2025-09,38,13,0,51
Himachal Pradesh,Kinnaur,2025-10,26,0,1,27
Himachal Pradesh,Kinnaur,2025-11,42,4,4,50
Himachal Pradesh,Kinnaur,2025-12,31,4,0,35
Himachal Pradesh,Kullu,2025-07,57,24,33,114
Himachal Pradesh,Kullu,2025-09,178,20,11,209
Himachal Pradesh,Kullu,2025-10,215,14,18,247
Himachal Pradesh,Kullu,2025-11,392,39,35,466
Himachal Pradesh,Kullu,2025-12,180,14,9,203
Himachal Pradesh,Lahaul and Spiti,2025-10,1,0,0,1
Himachal Pradesh,Lahaul and Spiti,2025-12,2,0,0,2
Himachal Pradesh,Lahul & Spiti,2025-09,13,0,0,13
Himachal Pradesh,Lahul & Spiti,2025-10,6,1,0,7
Himachal Pradesh,Lahul & Spiti,2025-11,15,0,0,15
Himachal Pradesh,Lahul & Spiti,2025-12,2,1,0,3
Himachal Pradesh,Lahul and Spiti,2025-09,10,1,0,11
Himachal Pradesh,Lahul and Spiti,2025-10,6,0,0,6
Himachal Pradesh,Lahul and Spiti,2025-11,10,0,0,10
Himachal Pradesh,Lahul and Spiti,2025-12,5,0,0,5
Himachal Pradesh,Mandi,2025-09,669,17,3,689
Himachal Pradesh,Mandi,2025-10,563,12,3,578
Himachal Pradesh,Mandi,2025-11,745,10,5,760
Himachal Pradesh,Mandi,2025-12,483,4,0,487
Himachal Pradesh,Shimla,2025-09,374,69,1,444
Himachal Pradesh,Shimla,2025-10,375,35,10,420
Himachal Pradesh,Shimla,2025-11,495,36,7,538
Himachal Pradesh,Shimla,2025-12,244,21,3,268
Himachal Pradesh,Sirmaur,2025-09,480,30,2,512
Himachal Pradesh,Sirmaur,2025-10,289,13,2,304
Himachal Pradesh,Sirmaur,2025-11,498,11,2,511
Himachal Pradesh,Sirmaur,2025-12,243,13,1,257
Himachal Pradesh,Solan,2025-09,303,29,0,332
Himachal Pradesh,Solan,2025-10,246,16,2,264
Himachal Pradesh,Solan,2025-11,372,12,1,385
Himachal Pradesh,Solan,2025-12,184,8,3,195
Himachal Pradesh,Una,2025-09,336,9,0,345
Himachal Pradesh,Una,2025-10,327,4,0,331
Himachal Pradesh,Una,2025-11,345,4,0,349
Himachal Pradesh,Una,2025-12,218,4,0,222
Jammu & Kashmir,Anantnag,2025-09,1,1,0,2
Jammu & Kashmir,Anantnag,2025-12,2,0,0,2
Jammu & Kashmir,Badgam,2025-11,0,2,0,2
Jammu & Kashmir,Bandipur,2025-10,1,0,0,1
Jammu & Kashmir,Bandipur,2025-12,1,0,0,1
Jammu & Kashmir,Baramula,2025-09,16,1,0,17
Jammu & Kashmir,Baramula,2025-10,9,0,0,9
Jammu & Kashmir,Baramula,2025-11,9,2,0,11
Jammu & Kashmir,Baramula,2025-12,9,1,0,10
Jammu & Kashmir,Doda,2025-11,2,0,0,2
Jammu & Kashmir,Jammu,2025-09,15,4,0,19
Jammu & Kashmir,Jammu,2025-10,16,1,0,17
Jammu & Kashmir,Jammu,2025-11,16,4,0,20
Jammu & Kashmir,Jammu,2025-12,5,1,0,6
Jammu & Kashmir,Kargil,2025-09,1,0,0,1
Jammu & Kashmir,Kargil,2025-10,1,0,0,1
Jammu & Kashmir,Kargil,2025-11,0,2,0,2
Jammu & Kashmir,Kathua,2025-09,2,0,0,2
Jammu & Kashmir,Kathua,2025-11,1,0,0,1
Jammu & Kashmir,Kathua,2025-12,5,0,0,5
Jammu & Kashmir,Kupwara,2025-09,1,1,0,2
Jammu & Kashmir,Kupwara,2025-10,3,0,0,3
Jammu & Kashmir,Kupwara,2025-11,4,0,0,4
Jammu & Kashmir,Leh (ladakh),2025-10,1,0,0,1
Jammu & Kashmir,Leh (ladakh),2025-12,2,0,0,2
Jammu & Kashmir,Pulwama,2025-10,1,0,0,1
Jammu & Kashmir,Pulwama,2025-11,1,0,0,1
Jammu & Kashmir,Pulwama,2025-12,2,0,0,2
Jammu & Kashmir,Punch,2025-12,1,0,0,1
Jammu & Kashmir,Rajauri,2025-11,0,1,0,1
Jammu & Kashmir,Rajauri,2025-12,1,0,0,1
Jammu & Kashmir,Srinagar,2025-09,0,1,0,1
Jammu & Kashmir,Srinagar,2025-11,1,0,0,1
Jammu & Kashmir,Srinagar,2025-12,1,0,0,1
Jammu & Kashmir,Udhampur,2025-09,1,0,0,1
Jammu & Kashmir,Udhampur,2025-12,1,0,0,1
Jammu And Kashmir,Doda,2025-07,261,260,17,538
Jammu And Kashmir,Shopian,2025-07,308,84,20,412
Jammu and Kashmir,Anantnag,2025-09,860,103,1,964
Jammu and Kashmir,Anantnag,2025-10,646,83,3,732
Jammu and Kashmir,Anantnag,2025-11,836,102,25,963
Jammu and Kashmir,Anantnag,2025-12,633,52,6,691
Jammu and Kashmir,Badgam,2025-09,473,85,0,558
Jammu and Kashmir,Badgam,2025-10,319,42,0,361
Jammu and Kashmir,Badgam,2025-11,425,41,0,466
Jammu and Kashmir,Badgam,2025-12,457,22,1,480
Jammu and Kashmir,Bandipore,2025-09,366,101,2,469
Jammu and Kashmir,Bandipore,2025-10,317,81,8,406
Jammu and Kashmir,Bandipore,2025-11,329,75,31,435
Jammu and Kashmir,Bandipore,2025-12,276,51,2,329
Jammu and Kashmir,Baramula,2025-05,136,39,12,187
Jammu and Kashmir,Baramula,2025-09,768,162,3,933
Jammu and Kashmir,Baramula,2025-10,480,103,6,589
Jammu and Kashmir,Baramula,2025-11,750,147,42,939
Jammu and Kashmir,Baramula,2025-12,1021,77,1,1099
Jammu and Kashmir,Budgam,2025-09,218,16,0,234
Jammu and Kashmir,Budgam,2025-10,174,10,3,187
Jammu and Kashmir,Budgam,2025-11,211,17,9,237
Jammu and Kashmir,Budgam,2025-12,190,8,3,201
Jammu and Kashmir,Doda,2025-09,270,145,0,415
Jammu and Kashmir,Doda,2025-10,1178,261,0,1439
Jammu and Kashmir,Doda,2025-11,858,272,10,1140
Jammu and Kashmir,Doda,2025-12,880,85,5,970
Jammu and Kashmir,Ganderbal,2025-09,246,27,0,273
Jammu and Kashmir,Ganderbal,2025-10,140,10,1,151
Jammu and Kashmir,Ganderbal,2025-11,216,17,8,241
Jammu and Kashmir,Ganderbal,2025-12,171,5,2,178
Jammu and Kashmir,Jammu,2025-05,55,16,10,81
Jammu and Kashmir,Jammu,2025-09,1158,309,10,1477
Jammu and Kashmir,Jammu,2025-10,795,184,8,987
Jammu and Kashmir,Jammu,2025-11,868,208,5,1081
Jammu and Kashmir,Jammu,2025-12,821,108,3,932
Jammu and Kashmir,Kargil,2025-09,101,40,0,141
Jammu and Kashmir,Kargil,2025-10,57,41,1,99
Jammu and Kashmir,Kargil,2025-11,100,35,0,135
Jammu and Kashmir,Kargil,2025-12,128,23,0,151
Jammu and Kashmir,Kathua,2025-09,473,91,0,564
Jammu and Kashmir,Kathua,2025-10,394,67,4,465
Jammu and Kashmir,Kathua,2025-11,922,97,4,1023
Jammu and Kashmir,Kathua,2025-12,846,55,1,902
Jammu and Kashmir,Kishtwar,2025-09,181,45,1,227
Jammu and Kashmir,Kishtwar,2025-10,227,59,0,286
Jammu and Kashmir,Kishtwar,2025-11,337,68,4,409
Jammu and Kashmir,Kishtwar,2025-12,313,33,1,347
Jammu and Kashmir,Kulgam,2025-09,245,62,0,307
Jammu and Kashmir,Kulgam,2025-10,206,57,0,263
Jammu and Kashmir,Kulgam,2025-11,283,76,9,368
Jammu and Kashmir,Kulgam,2025-12,236,37,0,273
Jammu and Kashmir,Kupwara,2025-09,671,160,0,831
Jammu and Kashmir,Kupwara,2025-10,573,112,5,690
Jammu and Kashmir,Kupwara,2025-11,676,113,35,824
Jammu and Kashmir,Kupwara,2025-12,472,58,0,530
Jammu and Kashmir,Leh,2025-09,32,12,1,45
Jammu and Kashmir,Leh,2025-10,48,18,0,66
Jammu and Kashmir,Leh,2025-11,53,6,0,59
Jammu and Kashmir,Leh,2025-12,30,6,0,36
Jammu and Kashmir,Pulwama,2025-09,457,40,0,497
Jammu and Kashmir,Pulwama,2025-10,426,30,12,468
Jammu and Kashmir,Pulwama,2025-11,450,32,2,484
Jammu and Kashmir,Pulwama,2025-12,405,16,1,422
Jammu and Kashmir,Punch,2025-04,142,59,10,211
Jammu and Kashmir,Punch,2025-09,352,142,0,494
Jammu and Kashmir,Punch,2025-10,401,118,1,520
Jammu and Kashmir,Punch,2025-11,536,171,6,713
Jammu and Kashmir,Punch,2025-12,632,58,0,690
Jammu and Kashmir,Rajouri,2025-09,513,166,0,679
Jammu and Kashmir,Rajouri,2025-10,313,121,2,436
Jammu and Kashmir,Rajouri,2025-11,728,221,7,956
Jammu and Kashmir,Rajouri,2025-12,517,86,0,603
Jammu and Kashmir,Ramban,2025-09,204,132,0,336
Jammu and Kashmir,Ramban,2025-10,300,157,0,457
Jammu and Kashmir,Ramban,2025-11,329,212,5,546
Jammu and Kashmir,Ramban,2025-12,484,96,1,581
Jammu and Kashmir,Reasi,2025-09,242,113,0,355
Jammu and Kashmir,Reasi,2025-10,215,120,3,338
Jammu and Kashmir,Reasi,2025-11,348,249,2,599
Jammu and Kashmir,Reasi,2025-12,331,88,4,423
Jammu and Kashmir,Samba,2025-09,150,12,0,162
Jammu and Kashmir,Samba,2025-10,110,16,2,128
Jammu and Kashmir,Samba,2025-11,143,12,7,162
Jammu and Kashmir,Samba,2025-12,129,7,0,136
Jammu and Kashmir,Shupiyan,2025-09,141,33,1,175
Jammu and Kashmir,Shupiyan,2025-10,108,27,0,135
Jammu and Kashmir,Shupiyan,2025-11,108,45,0,153
Jammu and Kashmir,Shupiyan,2025-12,180,23,0,203
Jammu and Kashmir,Srinagar,2025-09,1011,82,1,1094
Jammu and Kashmir,Srinagar,2025-10,653,66,33,752
Jammu and Kashmir,Srinagar,2025-11,685,80,87,852
Jammu and Kashmir,Srinagar,2025-12,502,42,14,558
Jammu and Kashmir,Udhampur,2025-09,494,95,4,593
Jammu and Kashmir,Udhampur,2025-10,343,72,4,419
Jammu and Kashmir,Udhampur,2025-11,827,127,3,957
Jammu and Kashmir,Udhampur,2025-12,782,55,0,837
Jammu and Kashmir,punch,2025-11,1,0,0,1
Jharkhand,Bokaro,2025-09,1061,845,4,1910
Jharkhand,Bokaro,2025-10,624,415,5,1044
Jharkhand,Bokaro,2025-11,1101,661,4,1766
Jharkhand,Bokaro,2025-12,719,357,4,1080
Jharkhand,Bokaro *,2025-10,1,0,0,1
Jharkhand,Bokaro *,2025-11,1,0,0,1
Jharkhand,Chatra,2025-06,246,218,10,474
Jharkhand,Chatra,2025-07,330,161,10,501
Jharkhand,Chatra,2025-09,954,760,3,1717
Jharkhand,Chatra,2025-10,498,362,3,863
Jharkhand,Chatra,2025-11,902,851,4,1757
Jharkhand,Chatra,2025-12,518,467,5,990
Jharkhand,Deoghar,2025-03,12,25,18,55
Jharkhand,Deoghar,2025-04,371,342,10,723
Jharkhand,Deoghar,2025-09,1050,993,16,2059
Jharkhand,Deoghar,2025-10,768,661,60,1489
Jharkhand,Deoghar,2025-11,1384,1069,11,2464
Jharkhand,Deoghar,2025-12,933,589,12,1534
Jharkhand,Dhanbad,2025-07,782,722,34,1538
Jharkhand,Dhanbad,2025-09,1983,1346,11,3340
Jharkhand,Dhanbad,2025-10,1394,580,7,1981
Jharkhand,Dhanbad,2025-11,1928,1040,23,2991
Jharkhand,Dhanbad,2025-12,791,373,17,1181
Jharkhand,Dumka,2025-04,34,32,23,89
Jharkhand,Dumka,2025-06,74,110,14,198
Jharkhand,Dumka,2025-07,61,117,10,188
Jharkhand,Dumka,2025-09,827,963,8,1798
Jharkhand,Dumka,2025-10,496,533,13,1042
Jharkhand,Dumka,2025-11,817,850,16,1683
Jharkhand,Dumka,2025-12,434,391,2,827
Jharkhand,East Singhbhum,2025-04,55,54,11,120
Jharkhand,East Singhbhum,2025-07,180,100,13,293
Jharkhand,East Singhbhum,2025-09,1572,808,10,2390
Jharkhand,East Singhbhum,2025-10,985,322,11,1318
Jharkhand,East Singhbhum,2025-11,1598,540,36,2174
Jharkhand,East Singhbhum,2025-12,1593,285,18,1896
Jharkhand,East Singhbum,2025-07,848,546,53,1447
Jharkhand,Garhwa,2025-09,1431,565,0,1996
Jharkhand,Garhwa,2025-10,771,263,7,1041
Jharkhand,Garhwa,2025-11,1453,471,7,1931
Jharkhand,Garhwa,2025-12,868,236,1,1105
Jharkhand,Garhwa *,2025-09,87,28,0,115
Jharkhand,Garhwa *,2025-10,71,10,0,81
Jharkhand,Garhwa *,2025-11,99,17,0,116
Jharkhand,Garhwa *,2025-12,57,12,0,69
Jharkhand,Giridih,2025-07,871,921,27,1819
Jharkhand,Giridih,2025-09,2033,1714,21,3768
Jharkhand,Giridih,2025-10,1258,1108,11,2377
Jharkhand,Giridih,2025-11,2101,1839,19,3959
Jharkhand,Giridih,2025-12,1432,944,4,2380
Jharkhand,Godda,2025-04,79,46,11,136
Jharkhand,Godda,2025-09,995,765,1,1761
Jharkhand,Godda,2025-10,507,373,3,883
Jharkhand,Godda,2025-11,1067,652,1,1720
Jharkhand,Godda,2025-12,590,299,1,890
Jharkhand,Gumla,2025-06,228,131,10,369
Jharkhand,Gumla,2025-07,383,286,23,692
Jharkhand,Gumla,2025-09,1281,927,2,2210
Jharkhand,Gumla,2025-10,628,398,26,1052
Jharkhand,Gumla,2025-11,881,518,15,1414
Jharkhand,Gumla,2025-12,682,264,18,964
Jharkhand,Hazaribag,2025-09,120,67,0,187
Jharkhand,Hazaribag,2025-10,77,39,0,116
Jharkhand,Hazaribag,2025-11,107,73,0,180
Jharkhand,Hazaribag,2025-12,54,29,0,83
Jharkhand,Hazaribagh,2025-04,169,65,14,248
Jharkhand,Hazaribagh,2025-09,1234,717,0,1951
Jharkhand,Hazaribagh,2025-10,766,447,2,1215
Jharkhand,Hazaribagh,2025-11,1239,559,15,1813
Jharkhand,Hazaribagh,2025-12,717,260,0,977
Jharkhand,Jamtara,2025-09,1140,424,1,1565
Jharkhand,Jamtara,2025-10,650,308,5,963
Jharkhand,Jamtara,2025-11,849,379,6,1234
Jharkhand,Jamtara,2025-12,521,163,4,688
Jharkhand,Khunti,2025-06,91,148,11,250
Jharkhand,Khunti,2025-07,146,196,14,356
Jharkhand,Khunti,2025-09,376,320,9,705
Jharkhand,Khunti,2025-10,256,158,7,421
Jharkhand,Khunti,2025-11,351,249,4,604
Jharkhand,Khunti,2025-12,206,102,0,308
Jharkhand,Kodarma,2025-09,59,48,0,107
Jharkhand,Kodarma,2025-10,42,27,0,69
Jharkhand,Kodarma,2025-11,57,40,0,97
Jharkhand,Kodarma,2025-12,26,11,0,37
Jharkhand,Koderma,2025-09,767,401,0,1168
Jharkhand,Koderma,2025-10,350,235,8,593
Jharkhand,Koderma,2025-11,575,303,3,881
Jharkhand,Koderma,2025-12,404,175,1,580
Jharkhand,Latehar,2025-09,600,384,1,985
Jharkhand,Latehar,2025-10,202,103,5,310
Jharkhand,Latehar,2025-11,507,305,4,816
Jharkhand,Latehar,2025-12,366,131,1,498
Jharkhand,Lohardaga,2025-04,187,104,17,308
Jharkhand,Lohardaga,2025-06,165,174,21,360
Jharkhand,Lohardaga,2025-09,388,277,1,666
Jharkhand,Lohardaga,2025-10,220,126,6,352
Jharkhand,Lohardaga,2025-11,421,153,11,585
Jharkhand,Lohardaga,2025-12,603,85,0,688
Jharkhand,Pakaur,2025-09,105,67,0,172
Jharkhand,Pakaur,2025-10,29,7,0,36
Jharkhand,Pakaur,2025-11,50,19,0,69
Jharkhand,Pakaur,2025-12,13,7,0,20
Jharkhand,Pakur,2025-04,579,372,11,962
