state,district,year_month,age_0_5,age_5_17,age_18_greater
Chhattisgarh,Gariyaband,2025-06,30,6,0
Chhattisgarh,Gariyaband,2025-07,18,3,0
Chhattisgarh,Gariyaband,2025-08,58,4,0
Chhattisgarh,Gariyaband,2025-09,65,8,0
Chhattisgarh,Gariyaband,2025-10,39,9,0
Chhattisgarh,Gariyaband,2025-11,22,8,0
Chhattisgarh,Gariyaband,2025-12,34,13,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-01,4,0,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-02,3,1,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-03,7,0,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-04,0,1,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-05,2,2,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-07,4,1,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-08,3,0,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-09,5,0,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-10,3,0,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-11,2,0,0
Chhattisgarh,Gaurela-Pendra-Marwahi,2025-12,3,0,0
Chhattisgarh,Gaurella Pendra Marwahi,2025-01,623,290,70
Chhattisgarh,Janjgir - Champa,2025-02,1,0,0
Chhattisgarh,Janjgir - Champa,2025-03,1,0,0
Chhattisgarh,Janjgir - Champa,2025-04,1,0,0
Chhattisgarh,Janjgir - Champa,2025-05,1,0,0
Chhattisgarh,Janjgir - Champa,2025-08,1,0,0
Chhattisgarh,Janjgir - Champa,2025-09,1,0,0
Chhattisgarh,Janjgir - Champa,2025-10,1,0,0
Chhattisgarh,Janjgir - Champa,2025-12,3,0,0
Chhattisgarh,Janjgir Champa,2025-02,0,1,0
Chhattisgarh,Janjgir Champa,2025-03,2,0,0
Chhattisgarh,Janjgir Champa,2025-06,2,0,0
Chhattisgarh,Janjgir Champa,2025-08,2,0,0
Chhattisgarh,Janjgir Champa,2025-09,1,0,0
Chhattisgarh,Janjgir Champa,2025-11,1,0,0
Chhattisgarh,Janjgir-Champa,2025-01,100,22,0
Chhattisgarh,Janjgir-Champa,2025-02,198,23,0
Chhattisgarh,Janjgir-Champa,2025-03,80,16,0
Chhattisgarh,Janjgir-Champa,2025-04,49,12,0
Chhattisgarh,Janjgir-Champa,2025-05,78,9,0
Chhattisgarh,Janjgir-Champa,2025-06,102,11,0
Chhattisgarh,Janjgir-Champa,2025-07,44,5,0
Chhattisgarh,Janjgir-Champa,2025-08,164,27,1
Chhattisgarh,Janjgir-Champa,2025-09,145,24,0
Chhattisgarh,Janjgir-Champa,2025-10,139,18,0
Chhattisgarh,Janjgir-Champa,2025-11,98,15,0
Chhattisgarh,Janjgir-Champa,2025-12,135,25,0
Chhattisgarh,Jashpur,2025-01,44,12,0
Chhattisgarh,Jashpur,2025-02,55,60,0
Chhattisgarh,Jashpur,2025-03,39,8,0
Chhattisgarh,Jashpur,2025-04,3,1,0
Chhattisgarh,Jashpur,2025-05,43,25,0
Chhattisgarh,Jashpur,2025-06,28,11,0
Chhattisgarh,Jashpur,2025-07,16,21,0
Chhattisgarh,Jashpur,2025-08,59,44,0
Chhattisgarh,Jashpur,2025-09,87,36,0
Chhattisgarh,Jashpur,2025-10,29,26,0
Chhattisgarh,Jashpur,2025-11,47,20,0
Chhattisgarh,Jashpur,2025-12,57,31,0
Chhattisgarh,Kabeerdham,2025-01,14,1,0
Chhattisgarh,Kabeerdham,2025-02,39,7,0
Chhattisgarh,Kabeerdham,2025-03,14,1,0
Chhattisgarh,Kabeerdham,2025-04,12,1,0
Chhattisgarh,Kabeerdham,2025-05,26,3,0
Chhattisgarh,Kabeerdham,2025-06,12,3,2
Chhattisgarh,Kabeerdham,2025-07,9,1,1
Chhattisgarh,Kabeerdham,2025-08,22,1,0
Chhattisgarh,Kabeerdham,2025-09,26,1,0
Chhattisgarh,Kabeerdham,2025-10,25,2,0
Chhattisgarh,Kabeerdham,2025-11,18,0,0
Chhattisgarh,Kabeerdham,2025-12,25,4,0
Chhattisgarh,Kanker,2025-01,8,2,0
Chhattisgarh,Kanker,2025-02,67,10,0
Chhattisgarh,Kanker,2025-03,41,11,0
Chhattisgarh,Kanker,2025-04,28,7,0
Chhattisgarh,Kanker,2025-05,41,7,0
Chhattisgarh,Kanker,2025-06,46,9,1
Chhattisgarh,Kanker,2025-07,17,3,0
Chhattisgarh,Kanker,2025-08,30,9,0
Chhattisgarh,Kanker,2025-09,38,6,0
Chhattisgarh,Kanker,2025-10,36,7,0
Chhattisgarh,Kanker,2025-11,27,11,0
Chhattisgarh,Kanker,2025-12,49,5,0
Chhattisgarh,Kawardha,2025-01,26,7,0
Chhattisgarh,Kawardha,2025-02,151,17,0
Chhattisgarh,Kawardha,2025-03,33,6,0
Chhattisgarh,Kawardha,2025-04,20,6,0
Chhattisgarh,Kawardha,2025-05,62,4,0
Chhattisgarh,Kawardha,2025-06,42,5,0
Chhattisgarh,Kawardha,2025-07,21,3,0
Chhattisgarh,Kawardha,2025-08,70,6,0
Chhattisgarh,Kawardha,2025-09,73,8,0
Chhattisgarh,Kawardha,2025-10,57,8,0
Chhattisgarh,Kawardha,2025-11,44,7,0
Chhattisgarh,Kawardha,2025-12,41,8,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-01,0,3,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-02,15,2,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-03,7,1,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-04,0,1,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-05,3,0,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-06,5,3,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-07,2,1,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-08,8,4,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-09,2,0,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-10,6,0,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-11,2,1,0
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2025-12,3,1,0
Chhattisgarh,Kondagaon,2025-01,18,3,0
Chhattisgarh,Kondagaon,2025-02,65,44,0
Chhattisgarh,Kondagaon,2025-03,21,15,0
Chhattisgarh,Kondagaon,2025-04,36,13,0
Chhattisgarh,Kondagaon,2025-05,72,39,0
Chhattisgarh,Kondagaon,2025-06,69,26,0
Chhattisgarh,Kondagaon,2025-07,29,15,0
Chhattisgarh,Kondagaon,2025-08,50,31,0
Chhattisgarh,Kondagaon,2025-09,78,26,1
Chhattisgarh,Kondagaon,2025-10,63,27,0
Chhattisgarh,Kondagaon,2025-11,35,25,0
Chhattisgarh,Kondagaon,2025-12,58,19,0
Chhattisgarh,Korba,2025-01,68,14,0
Chhattisgarh,Korba,2025-02,121,19,0
Chhattisgarh,Korba,2025-03,78,19,0
Chhattisgarh,Korba,2025-04,21,4,0
Chhattisgarh,Korba,2025-05,64,16,0
Chhattisgarh,Korba,2025-06,70,18,0
Chhattisgarh,Korba,2025-07,32,4,1
Chhattisgarh,Korba,2025-08,139,19,0
Chhattisgarh,Korba,2025-09,119,9,0
Chhattisgarh,Korba,2025-10,115,17,1
Chhattisgarh,Korba,2025-11,91,12,1
Chhattisgarh,Korba,2025-12,89,10,0
Chhattisgarh,Koriya,2025-01,28,6,0
Chhattisgarh,Koriya,2025-02,35,40,0
Chhattisgarh,Koriya,2025-03,20,14,0
Chhattisgarh,Koriya,2025-04,2,5,0
Chhattisgarh,Koriya,2025-05,19,11,0
Chhattisgarh,Koriya,2025-06,16,3,0
Chhattisgarh,Koriya,2025-07,7,6,0
Chhattisgarh,Koriya,2025-08,60,16,0
Chhattisgarh,Koriya,2025-09,45,13,0
Chhattisgarh,Koriya,2025-10,25,15,0
Chhattisgarh,Koriya,2025-11,33,21,0
Chhattisgarh,Koriya,2025-12,61,26,1
Chhattisgarh,Mahasamund,2025-01,75,14,0
Chhattisgarh,Mahasamund,2025-02,87,28,0
Chhattisgarh,Mahasamund,2025-03,87,13,0
Chhattisgarh,Mahasamund,2025-04,42,8,1
Chhattisgarh,Mahasamund,2025-05,57,12,0
Chhattisgarh,Mahasamund,2025-06,54,7,0
Chhattisgarh,Mahasamund,2025-07,41,11,0
Chhattisgarh,Mahasamund,2025-08,101,12,0
Chhattisgarh,Mahasamund,2025-09,98,15,0
Chhattisgarh,Mahasamund,2025-10,106,20,0
Chhattisgarh,Mahasamund,2025-11,88,16,0
Chhattisgarh,Mahasamund,2025-12,67,16,1
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-01,7,3,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-02,7,16,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-03,7,0,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-05,7,2,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-06,2,1,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-07,1,0,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-08,6,4,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-09,6,3,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-10,2,0,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-11,5,5,0
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2025-12,4,2,0
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-02,1,1,0
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-07,1,0,0
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-11,1,0,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-01,1,1,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-02,5,4,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-03,3,2,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-04,1,1,1
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-05,1,1,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-06,3,1,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-07,4,0,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-08,5,6,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-09,9,3,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-10,8,1,1
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-11,4,3,0
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2025-12,5,2,0
Chhattisgarh,Mungeli,2025-01,57,12,1
Chhattisgarh,Mungeli,2025-02,114,14,0
Chhattisgarh,Mungeli,2025-03,31,3,0
Chhattisgarh,Mungeli,2025-04,21,2,0
Chhattisgarh,Mungeli,2025-05,72,10,0
Chhattisgarh,Mungeli,2025-06,42,11,0
Chhattisgarh,Mungeli,2025-07,34,9,0
Chhattisgarh,Mungeli,2025-08,106,21,0
Chhattisgarh,Mungeli,2025-09,107,19,1
Chhattisgarh,Mungeli,2025-10,83,7,0
Chhattisgarh,Mungeli,2025-11,80,5,0
Chhattisgarh,Mungeli,2025-12,70,9,0
Chhattisgarh,Narayanpur,2025-01,8,9,0
Chhattisgarh,Narayanpur,2025-02,15,10,0
Chhattisgarh,Narayanpur,2025-03,12,5,0
Chhattisgarh,Narayanpur,2025-04,6,1,0
Chhattisgarh,Narayanpur,2025-05,13,15,0
Chhattisgarh,Narayanpur,2025-06,5,6,0
Chhattisgarh,Narayanpur,2025-07,6,5,0
Chhattisgarh,Narayanpur,2025-08,18,9,0
Chhattisgarh,Narayanpur,2025-09,7,13,0
Chhattisgarh,Narayanpur,2025-10,10,13,0
Chhattisgarh,Narayanpur,2025-11,7,4,0
Chhattisgarh,Narayanpur,2025-12,10,5,0
Chhattisgarh,Raigarh,2025-01,1382,187,23
Chhattisgarh,Raigarh,2025-02,120,19,0
Chhattisgarh,Raigarh,2025-03,108,8,1
Chhattisgarh,Raigarh,2025-04,36,5,0
Chhattisgarh,Raigarh,2025-05,93,7,0
Chhattisgarh,Raigarh,2025-06,97,12,0
Chhattisgarh,Raigarh,2025-07,72,3,0
Chhattisgarh,Raigarh,2025-08,116,25,0
Chhattisgarh,Raigarh,2025-09,121,7,0
Chhattisgarh,Raigarh,2025-10,91,13,0
Chhattisgarh,Raigarh,2025-11,79,14,0
Chhattisgarh,Raigarh,2025-12,81,9,0
Chhattisgarh,Raipur,2025-01,396,27,11
Chhattisgarh,Raipur,2025-02,225,64,0
Chhattisgarh,Raipur,2025-03,105,19,0
Chhattisgarh,Raipur,2025-04,97,10,0
Chhattisgarh,Raipur,2025-05,185,28,0
Chhattisgarh,Raipur,2025-06,162,19,2
Chhattisgarh,Raipur,2025-07,88,17,0
Chhattisgarh,Raipur,2025-08,220,34,0
Chhattisgarh,Raipur,2025-09,219,19,0
Chhattisgarh,Raipur,2025-10,216,31,0
Chhattisgarh,Raipur,2025-11,161,19,0
Chhattisgarh,Raipur,2025-12,182,22,0
Chhattisgarh,Rajnandgaon,2025-01,52,6,0
Chhattisgarh,Rajnandgaon,2025-02,152,24,0
Chhattisgarh,Rajnandgaon,2025-03,90,7,1
Chhattisgarh,Rajnandgaon,2025-04,55,6,0
Chhattisgarh,Rajnandgaon,2025-05,111,18,0
Chhattisgarh,Rajnandgaon,2025-06,91,10,0
Chhattisgarh,Rajnandgaon,2025-07,82,4,0
Chhattisgarh,Rajnandgaon,2025-08,116,12,0
Chhattisgarh,Rajnandgaon,2025-09,117,12,0
Chhattisgarh,Rajnandgaon,2025-10,105,15,0
Chhattisgarh,Rajnandgaon,2025-11,80,9,1
Chhattisgarh,Rajnandgaon,2025-12,75,11,0
Chhattisgarh,Sakti,2025-01,15,1,1
Chhattisgarh,Sakti,2025-02,17,3,0
Chhattisgarh,Sakti,2025-03,3,1,1
Chhattisgarh,Sakti,2025-04,6,4,0
Chhattisgarh,Sakti,2025-05,5,2,0
Chhattisgarh,Sakti,2025-06,13,0,0
Chhattisgarh,Sakti,2025-07,0,1,0
Chhattisgarh,Sakti,2025-08,15,6,0
Chhattisgarh,Sakti,2025-09,16,5,0
Chhattisgarh,Sakti,2025-10,18,1,0
Chhattisgarh,Sakti,2025-11,11,5,0
Chhattisgarh,Sakti,2025-12,6,1,0
Chhattisgarh,Sarangarh-Bilaigarh,2025-01,1,0,0
Chhattisgarh,Sarangarh-Bilaigarh,2025-02,3,0,0
Chhattisgarh,Sarangarh-Bilaigarh,2025-03,3,1,0
Chhattisgarh,Sarangarh-Bilaigarh,2025-05,3,2,0
Chhattisgarh,Sarangarh-Bilaigarh,2025-06,1,1,0
Chhattisgarh,Sarangarh-Bilaigarh,2025-07,1,0,0
Chhattisgarh,Sarangarh-Bilaigarh,2025-08,3,2,1
Chhattisgarh,Sarangarh-Bilaigarh,2025-09,2,1,0
Chhattisgarh,Sarangarh-Bilaigarh,2025-10,2,1,0
Chhattisgarh,Sarangarh-Bilaigarh,2025-11,1,0,0
Chhattisgarh,Sarangarh-Bilaigarh,2025-12,4,0,0
Chhattisgarh,Sukma,2025-01,604,312,98
Chhattisgarh,Sukma,2025-02,15,18,1
Chhattisgarh,Sukma,2025-03,12,4,0
Chhattisgarh,Sukma,2025-04,6,3,0
Chhattisgarh,Sukma,2025-05,15,15,0
Chhattisgarh,Sukma,2025-06,11,15,0
Chhattisgarh,Sukma,2025-07,6,0,0
Chhattisgarh,Sukma,2025-08,12,23,0
Chhattisgarh,Sukma,2025-09,17,8,2
Chhattisgarh,Sukma,2025-10,14,10,0
Chhattisgarh,Sukma,2025-11,14,9,3
Chhattisgarh,Sukma,2025-12,7,13,3
Chhattisgarh,Surajpur,2025-01,47,10,0
Chhattisgarh,Surajpur,2025-02,65,21,1
Chhattisgarh,Surajpur,2025-03,39,8,0
Chhattisgarh,Surajpur,2025-04,15,2,0
Chhattisgarh,Surajpur,2025-05,47,11,0
Chhattisgarh,Surajpur,2025-06,44,14,0
Chhattisgarh,Surajpur,2025-07,18,11,0
Chhattisgarh,Surajpur,2025-08,91,23,0
Chhattisgarh,Surajpur,2025-09,85,16,0
Chhattisgarh,Surajpur,2025-10,85,22,1
Chhattisgarh,Surajpur,2025-11,58,21,0
Chhattisgarh,Surajpur,2025-12,77,28,1
Chhattisgarh,Surguja,2025-01,73,10,0
Chhattisgarh,Surguja,2025-02,98,33,0
Chhattisgarh,Surguja,2025-03,47,8,1
Chhattisgarh,Surguja,2025-04,26,7,0
Chhattisgarh,Surguja,2025-05,67,23,0
Chhattisgarh,Surguja,2025-06,63,14,0
Chhattisgarh,Surguja,2025-07,31,18,0
Chhattisgarh,Surguja,2025-08,101,32,0
Chhattisgarh,Surguja,2025-09,99,21,0
Chhattisgarh,Surguja,2025-10,82,17,0
Chhattisgarh,Surguja,2025-11,108,21,0
Chhattisgarh,Surguja,2025-12,92,24,0
Chhattisgarh,Uttar Bastar Kanker,2025-01,1,0,0
Chhattisgarh,Uttar Bastar Kanker,2025-02,21,10,0
Chhattisgarh,Uttar Bastar Kanker,2025-03,18,4,0
Chhattisgarh,Uttar Bastar Kanker,2025-04,10,0,0
Chhattisgarh,Uttar Bastar Kanker,2025-05,15,4,0
Chhattisgarh,Uttar Bastar Kanker,2025-06,19,3,0
Chhattisgarh,Uttar Bastar Kanker,2025-07,10,2,0
Chhattisgarh,Uttar Bastar Kanker,2025-08,14,7,0
Chhattisgarh,Uttar Bastar Kanker,2025-09,27,0,0
Chhattisgarh,Uttar Bastar Kanker,2025-10,17,2,0
Chhattisgarh,Uttar Bastar Kanker,2025-11,12,7,0
Chhattisgarh,Uttar Bastar Kanker,2025-12,15,1,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-01,1,0,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-02,2,0,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-03,1,0,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-05,0,1,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-06,0,1,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-08,1,0,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-09,1,0,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-10,2,0,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,2025-11,1,0,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-01,16,0,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-02,35,3,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-03,25,0,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-04,6,1,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-05,4,0,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-06,7,1,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-07,5,1,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-08,22,2,1
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-09,29,3,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-10,17,7,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-11,36,2,0
Dadra And Nagar Haveli,Dadra And Nagar Haveli,2025-12,28,2,1
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-01,0,1,0
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-02,4,0,0
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-03,1,0,0
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-04,1,2,0
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-05,0,0,1
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-06,1,0,0
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-08,1,0,0
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-09,3,3,0
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-10,4,0,0
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-11,2,0,0
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,2025-12,3,1,1
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-02,3,0,0
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-03,2,0,1
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-08,2,0,0
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-10,4,0,0
Dadra And Nagar Haveli And Daman And Diu,Daman,2025-11,1,2,0
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-01,1,0,0
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-02,1,0,0
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-03,1,0,0
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-06,0,3,0
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-09,1,0,0
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-11,0,1,2
Dadra And Nagar Haveli And Daman And Diu,Diu,2025-12,1,0,0
Daman & Diu,Daman,2025-02,1,0,0
Daman & Diu,Daman,2025-04,1,0,0
Daman & Diu,Diu,2025-02,1,0,0
Daman & Diu,Diu,2025-08,1,0,0
Daman & Diu,Diu,2025-12,2,0,0
Daman And Diu,Daman,2025-01,2,1,0
Daman And Diu,Daman,2025-02,2,1,0
Daman And Diu,Daman,2025-03,0,1,0
Daman And Diu,Daman,2025-08,2,1,0
Daman And Diu,Daman,2025-09,1,1,0
Daman And Diu,Daman,2025-11,2,0,0
Daman And Diu,Diu,2025-02,1,0,0
Daman And Diu,Diu,2025-05,1,0,0
Daman And Diu,Diu,2025-07,1,0,0
Daman And Diu,Diu,2025-08,2,1,0
Daman And Diu,Diu,2025-09,6,0,0
Daman And Diu,Diu,2025-10,1,0,0
Daman And Diu,Diu,2025-11,1,0,0
Daman And Diu,Diu,2025-12,4,0,0
Delhi,Central Delhi,2025-01,1231,538,99
Delhi,Central Delhi,2025-02,55,25,3
Delhi,Central Delhi,2025-03,27,11,1
Delhi,Central Delhi,2025-04,19,6,0
Delhi,Central Delhi,2025-05,31,13,2
Delhi,Central Delhi,2025-06,45,13,4
Delhi,Central Delhi,2025-07,21,6,4
Delhi,Central Delhi,2025-08,59,17,3
Delhi,Central Delhi,2025-09,46,11,2
Delhi,Central Delhi,2025-10,46,21,0
Delhi,Central Delhi,2025-11,42,15,1
Delhi,Central Delhi,2025-12,46,13,1
Delhi,East Delhi,2025-01,3707,1397,165
Delhi,East Delhi,2025-02,215,42,1
Delhi,East Delhi,2025-03,90,18,2
Delhi,East Delhi,2025-04,88,16,0
Delhi,East Delhi,2025-05,106,39,0
Delhi,East Delhi,2025-06,107,31,1
Delhi,East Delhi,2025-07,68,14,0
Delhi,East Delhi,2025-08,126,40,4
Delhi,East Delhi,2025-09,126,33,2
Delhi,East Delhi,2025-10,132,54,3
Delhi,East Delhi,2025-11,109,25,4
Delhi,East Delhi,2025-12,103,23,1
Delhi,Najafgarh,2025-02,2,0,0
Delhi,Najafgarh,2025-03,1,0,0
Delhi,Najafgarh,2025-05,1,0,0
Delhi,Najafgarh,2025-06,3,1,0
Delhi,Najafgarh,2025-07,1,0,0
Delhi,Najafgarh,2025-08,1,0,0
Delhi,Najafgarh,2025-10,1,0,0
Delhi,Najafgarh,2025-12,0,2,0
Delhi,New Delhi,2025-01,796,455,207
Delhi,New Delhi,2025-02,9,1,0
Delhi,New Delhi,2025-03,1,0,0
Delhi,New Delhi,2025-04,1,0,0
Delhi,New Delhi,2025-05,2,1,0
Delhi,New Delhi,2025-06,2,3,0
Delhi,New Delhi,2025-07,2,0,0
Delhi,New Delhi,2025-08,2,0,0
Delhi,New Delhi,2025-09,5,1,1
Delhi,New Delhi,2025-10,6,1,0
Delhi,New Delhi,2025-11,7,0,1
Delhi,New Delhi,2025-12,4,2,0
Delhi,North Delhi,2025-01,957,573,52
Delhi,North Delhi,2025-02,66,33,1
Delhi,North Delhi,2025-03,41,23,0
Delhi,North Delhi,2025-04,24,14,0
Delhi,North Delhi,2025-05,44,23,0
Delhi,North Delhi,2025-06,74,23,2
Delhi,North Delhi,2025-07,38,8,0
Delhi,North Delhi,2025-08,55,23,0
Delhi,North Delhi,2025-09,58,12,1
Delhi,North Delhi,2025-10,69,22,1
Delhi,North Delhi,2025-11,60,16,0
Delhi,North Delhi,2025-12,57,15,1
Delhi,North East,2025-01,29,12,0
Delhi,North East,2025-02,67,15,0
Delhi,North East,2025-03,13,7,1
Delhi,North East,2025-04,14,13,0
Delhi,North East,2025-05,28,14,0
Delhi,North East,2025-06,35,17,0
Delhi,North East,2025-07,15,3,0
Delhi,North East,2025-08,44,17,0
Delhi,North East,2025-09,47,13,0
Delhi,North East,2025-10,33,10,0
Delhi,North East,2025-11,31,8,0
Delhi,North East,2025-12,32,7,0
Delhi,North East Delhi,2025-01,3958,2185,41
Delhi,North East Delhi,2025-02,209,74,0
Delhi,North East Delhi,2025-03,108,46,0
Delhi,North East Delhi,2025-04,72,26,0
Delhi,North East Delhi,2025-05,93,33,1
Delhi,North East Delhi,2025-06,113,72,3
Delhi,North East Delhi,2025-07,50,25,0
Delhi,North East Delhi,2025-08,156,47,0
Delhi,North East Delhi,2025-09,127,48,0
Delhi,North East Delhi,2025-10,161,47,0
Delhi,North East Delhi,2025-11,111,43,0
Delhi,North East Delhi,2025-12,105,36,0
Delhi,North West Delhi,2025-01,2880,1108,157
Delhi,North West Delhi,2025-02,418,104,6
Delhi,North West Delhi,2025-03,184,48,3
Delhi,North West Delhi,2025-04,154,52,2
Delhi,North West Delhi,2025-05,184,36,2
Delhi,North West Delhi,2025-06,250,90,17
Delhi,North West Delhi,2025-07,134,21,4
Delhi,North West Delhi,2025-08,300,72,7
Delhi,North West Delhi,2025-09,258,65,4
Delhi,North West Delhi,2025-10,324,79,6
Delhi,North West Delhi,2025-11,238,81,3
Delhi,North West Delhi,2025-12,238,62,11
Delhi,Shahdara,2025-01,826,389,48
Delhi,Shahdara,2025-02,18,6,0
Delhi,Shahdara,2025-03,9,0,0
Delhi,Shahdara,2025-04,2,0,0
Delhi,Shahdara,2025-05,12,3,0
Delhi,Shahdara,2025-06,2,5,5
Delhi,Shahdara,2025-07,1,3,0
Delhi,Shahdara,2025-08,18,6,0
Delhi,Shahdara,2025-09,13,2,0
Delhi,Shahdara,2025-10,12,5,0
Delhi,Shahdara,2025-11,10,4,0
Delhi,Shahdara,2025-12,11,6,0
Delhi,South Delhi,2025-01,2193,854,243
Delhi,South Delhi,2025-02,327,90,5
Delhi,South Delhi,2025-03,138,48,7
Delhi,South Delhi,2025-04,118,34,1
Delhi,South Delhi,2025-05,184,41,2
Delhi,South Delhi,2025-06,196,59,6
Delhi,South Delhi,2025-07,123,39,2
Delhi,South Delhi,2025-08,249,66,15
Delhi,South Delhi,2025-09,235,58,5
Delhi,South Delhi,2025-10,257,71,5
Delhi,South Delhi,2025-11,183,58,3
Delhi,South Delhi,2025-12,190,51,3
Delhi,South East Delhi,2025-02,4,0,0
Delhi,South East Delhi,2025-03,1,1,0
Delhi,South East Delhi,2025-05,1,3,0
Delhi,South East Delhi,2025-06,2,0,0
Delhi,South East Delhi,2025-07,2,0,0
Delhi,South East Delhi,2025-08,1,0,0
